Date,Sales,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30,DayOfWeek,DayOfMonth,WeekOfYear,DayOfYear,Year,DoW_sin,DoW_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,lag_1,lag_2,lag_3,lag_7,lag_14,lag_30,lag_365,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_mean_60,rolling_std_60,Days_Since_Start,Trend,is_black_friday,is_christmas,is_new_year,is_holiday,lag_7_14_avg,lag_7_21_avg
2012-07-01,53618,25,238,10.37,,238.0,7,1,7,3,183,0,0,0,0,0,0,247.0552033660589,247.65114568599716,248.2233714285714,247.4028126894322,125.31713950737671,247.3522792397661,6,1,26,183,2012,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,-0.008606996888688009,-0.9999629591162655,,,,,,,,53618.0,,53618.0,,53618.0,,53618.0,,0,0.0,0,0,0,0,,
2012-07-02,50357,17,213,9.0,,213.0,1,0,7,3,184,0,0,0,0,0,0,238.0,247.65114568599716,248.2233714285714,247.4028126894322,125.31713950737671,247.3522792397661,0,2,27,184,2012,0.0,1.0,-0.4999999999999997,-0.8660254037844388,-0.02581844022713239,-0.9996666485105112,53618.0,,,,,,,51987.5,2305.8752134493316,51987.5,2305.8752134493316,51987.5,2305.8752134493316,51987.5,2305.8752134493316,1,0.0014005602240896359,0,0,0,0,,
2012-07-03,39831,15,258,9.32,,258.0,2,0,7,3,185,0,0,0,0,0,0,213.0,247.65114568599716,248.2233714285714,247.4028126894322,125.31713950737671,247.3522792397661,1,3,27,185,2012,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,-0.04302223300453034,-0.99907411510223,50357.0,53618.0,,,,,,47935.333333333336,7205.462811876372,47935.333333333336,7205.462811876372,47935.333333333336,7205.462811876372,47935.333333333336,7205.462811876372,2,0.0028011204481792717,0,0,0,0,,
2012-07-04,56826,24,255,10.5,,255.0,3,0,7,3,186,0,0,0,0,0,0,258.0,247.65114568599716,248.2233714285714,247.4028126894322,125.31713950737671,247.3522792397661,2,4,27,186,2012,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,-0.060213277365792774,-0.9981855344718586,39831.0,50357.0,53618.0,,,,,50158.0,7373.835591694009,50158.0,7373.835591694009,50158.0,7373.835591694009,50158.0,7373.835591694009,3,0.004201680672268907,0,0,0,0,,
2012-07-05,55282,22,216,10.2,,216.0,4,0,7,3,187,0,0,0,0,0,0,255.0,247.65114568599716,248.2233714285714,247.4028126894322,125.31713950737671,247.3522792397661,3,5,27,187,2012,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,-0.07738647923346322,-0.9970011699250151,56826.0,39831.0,50357.0,,,,,51182.8,6784.627012592512,51182.8,6784.627012592512,51182.8,6784.627012592512,51182.8,6784.627012592512,4,0.0056022408963585435,0,0,0,0,,
2012-07-06,71907,33,246,12.53,,246.0,5,0,7,3,188,0,0,0,0,0,0,216.0,247.65114568599716,248.2233714285714,247.4028126894322,125.31713950737671,247.3522792397661,4,6,27,188,2012,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,-0.09453674981719933,-0.9955213724144752,55282.0,56826.0,39831.0,,,,,54636.833333333336,10411.868639522238,54636.833333333336,10411.868639522238,54636.833333333336,10411.868639522238,54636.833333333336,10411.868639522238,5,0.0070028011204481795,0,0,0,0,,
2012-07-07,50442,24,367,8.77,,367.0,6,1,7,3,189,0,0,0,0,0,0,246.0,247.65114568599716,248.2233714285714,247.4028126894322,125.31713950737671,247.3522792397661,5,7,27,189,2012,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,-0.11165900712169444,-0.9937465804361781,71907.0,55282.0,56826.0,,,,,54037.57142857143,9636.0249905782,54037.57142857143,9636.0249905782,54037.57142857143,9636.0249905782,54037.57142857143,9636.0249905782,6,0.008403361344537815,0,0,0,0,,
2012-07-08,52975,24,242,11.52,,242.0,7,1,7,3,190,0,0,0,0,0,0,367.0,238.0,248.2233714285714,256.1428571428572,51.95969133674223,247.3522792397661,6,8,27,190,2012,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,-0.12874817745258066,-0.99167731989929,50442.0,71907.0,55282.0,53618.0,,,,53945.71428571428,9643.752895256177,53904.75,8929.132028686454,53904.75,8929.132028686454,53904.75,8929.132028686454,7,0.00980392156862745,0,0,0,0,,
2012-07-09,58618,18,175,9.69,,175.0,1,0,7,3,191,0,0,0,0,0,0,242.0,213.0,248.2233714285714,256.7142857142857,51.74847593799032,247.3522792397661,0,9,28,191,2012,0.0,1.0,-0.4999999999999997,-0.8660254037844388,-0.14579919691987442,-0.9893142039703664,52975.0,50442.0,71907.0,50357.0,,,,55125.857142857145,9636.856704489132,54428.444444444445,8498.913270399797,54428.444444444445,8498.913270399797,54428.444444444445,8498.913270399797,8,0.011204481792717087,0,0,0,0,,
2012-07-10,55134,17,175,7.27,,175.0,2,0,7,3,192,0,0,0,0,0,0,175.0,258.0,248.2233714285714,251.28571428571428,58.63364871730876,247.3522792397661,1,10,28,192,2012,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,-0.16280701293851646,-0.9866579328916572,58618.0,52975.0,50442.0,39831.0,,,,57312.0,6950.142804288271,54499.0,8015.957986694069,54499.0,8015.957986694069,54499.0,8015.957986694069,9,0.012605042016806723,0,0,0,0,,
