Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2012-07-01,20,170,10.11,No,40669,170.0,7,1,7,3,183,0,0,0,0,0,0,,,,,,
2012-07-02,12,152,8.78,No,35360,152.0,1,0,7,3,184,0,0,0,0,0,0,170.0,,,,,
2012-07-03,10,185,9.09,No,40741,185.0,2,0,7,3,185,0,0,0,0,0,0,152.0,,,,,
2012-07-04,16,182,10.23,No,33871,182.0,3,0,7,3,186,0,0,0,0,0,0,185.0,,,,,
2012-07-05,19,155,9.95,No,36880,155.0,4,0,7,3,187,0,0,0,0,0,0,182.0,,,,,
2012-07-06,25,175,12.22,No,43441,175.0,5,0,7,3,188,0,0,0,0,0,0,155.0,,,,,
2012-07-07,24,261,8.55,No,47133,261.0,6,1,7,3,189,0,0,0,0,0,0,175.0,,,,,
2012-07-08,19,172,11.24,No,40165,172.0,7,1,7,3,190,0,0,0,0,0,0,261.0,170.0,,182.85714285714286,36.6670995645441,
2012-07-09,11,125,9.45,No,37262,125.0,1,0,7,3,191,0,0,0,0,0,0,172.0,152.0,,183.14285714285714,36.55784718054648,
2012-07-10,13,125,7.09,No,37718,125.0,2,0,7,3,192,0,0,0,0,0,0,125.0,185.0,,179.28571428571428,41.483789145939426,
2012-07-11,16,134,11.17,No,35429,134.0,3,0,7,3,193,0,0,0,0,0,0,125.0,182.0,,170.71428571428572,46.05328177127837,
2012-07-12,23,145,9.19,No,36206,145.0,4,0,7,3,194,0,0,0,0,0,0,134.0,155.0,,163.85714285714286,47.639019621274635,
2012-07-13,19,151,7.76,No,37865,151.0,5,0,7,3,195,0,0,0,0,0,0,145.0,175.0,,162.42857142857142,48.09662892849886,
2012-07-14,20,195,9.94,No,39216,195.0,6,1,7,3,196,0,0,0,0,0,0,151.0,261.0,,159.0,47.906158268013925,
2012-07-15,18,148,7.19,No,37190,148.0,7,1,7,3,197,0,0,0,0,0,0,195.0,172.0,170.0,149.57142857142858,25.947749695989295,
2012-07-16,14,127,9.76,No,42122,127.0,1,0,7,3,198,0,0,0,0,0,0,148.0,125.0,152.0,146.14285714285714,24.00297600596341,
2012-07-17,10,133,7.76,No,33963,133.0,2,0,7,3,199,0,0,0,0,0,0,127.0,125.0,185.0,146.42857142857142,23.719592062660897,
2012-07-18,12,139,6.46,No,35233,139.0,3,0,7,3,200,0,0,0,0,0,0,133.0,134.0,182.0,147.57142857142858,22.68521649927648,
2012-07-19,16,154,9.12,No,43886,154.0,4,0,7,3,201,0,0,0,0,0,0,139.0,145.0,155.0,148.28571428571428,22.261433659390107,
2012-07-20,22,154,8.61,No,42240,154.0,5,0,7,3,202,0,0,0,0,0,0,154.0,151.0,175.0,149.57142857142858,22.299903907544365,
2012-07-21,29,216,6.93,No,39429,216.0,6,1,7,3,203,0,0,0,0,0,0,154.0,195.0,261.0,150.0,22.360679774997855,
