Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2012-07-01,25,238,10.37,No,53618,238.0,7,1,7,3,183,0,0,0,0,0,0,,,,,,
2012-07-02,17,213,9.0,No,50357,213.0,1,0,7,3,184,0,0,0,0,0,0,238.0,,,,,
2012-07-03,15,258,9.32,No,39831,258.0,2,0,7,3,185,0,0,0,0,0,0,213.0,,,,,
2012-07-04,24,255,10.5,No,56826,255.0,3,0,7,3,186,0,0,0,0,0,0,258.0,,,,,
2012-07-05,22,216,10.2,No,55282,216.0,4,0,7,3,187,0,0,0,0,0,0,255.0,,,,,
2012-07-06,33,246,12.53,No,71907,246.0,5,0,7,3,188,0,0,0,0,0,0,216.0,,,,,
2012-07-07,24,367,8.77,No,50442,367.0,6,1,7,3,189,0,0,0,0,0,0,246.0,,,,,
2012-07-08,24,242,11.52,No,52975,242.0,7,1,7,3,190,0,0,0,0,0,0,367.0,238.0,,256.14285714285717,51.959691336742225,
2012-07-09,18,175,9.69,No,58618,175.0,1,0,7,3,191,0,0,0,0,0,0,242.0,213.0,,256.7142857142857,51.748475937990314,
2012-07-10,17,175,7.27,No,55134,175.0,2,0,7,3,192,0,0,0,0,0,0,175.0,258.0,,251.28571428571428,58.63364871730876,
2012-07-11,23,188,11.45,No,61280,188.0,3,0,7,3,193,0,0,0,0,0,0,175.0,255.0,,239.42857142857142,65.08675529080946,
2012-07-12,29,205,9.43,No,55462,205.0,4,0,7,3,194,0,0,0,0,0,0,188.0,216.0,,229.85714285714286,67.30385965016808,
2012-07-13,28,213,7.96,No,58950,213.0,5,0,7,3,195,0,0,0,0,0,0,205.0,246.0,,228.28571428571428,67.8078517717879,
2012-07-14,26,275,10.2,No,58198,275.0,6,1,7,3,196,0,0,0,0,0,0,213.0,367.0,,223.57142857142858,67.51754622036441,
2012-07-15,34,209,7.37,No,54487,209.0,7,1,7,3,197,0,0,0,0,0,0,275.0,242.0,238.0,210.42857142857142,37.00386080243126,
2012-07-16,15,180,10.01,No,53061,180.0,1,0,7,3,198,0,0,0,0,0,0,209.0,175.0,213.0,205.71428571428572,34.31576064392894,
2012-07-17,15,188,7.96,No,54143,188.0,2,0,7,3,199,0,0,0,0,0,0,180.0,175.0,258.0,206.42857142857142,33.61476432986516,
2012-07-18,17,197,6.62,No,61069,197.0,3,0,7,3,200,0,0,0,0,0,0,188.0,188.0,255.0,208.28571428571428,31.904619758034354,
2012-07-19,24,217,9.35,No,68382,217.0,4,0,7,3,201,0,0,0,0,0,0,197.0,205.0,216.0,209.57142857142858,31.122645254204247,
2012-07-20,32,217,8.83,No,53759,217.0,5,0,7,3,202,0,0,0,0,0,0,217.0,213.0,246.0,211.28571428571428,31.159344696330777,
2012-07-21,31,305,7.11,No,61388,305.0,6,1,7,3,203,0,0,0,0,0,0,217.0,275.0,367.0,211.85714285714286,31.232614211368627,
2012-07-22,33,222,6.38,No,58726,222.0,7,1,7,3,204,0,0,0,0,0,0,305.0,209.0,242.0,216.14285714285714,41.65904692232152,
2012-07-23,26,184,8.38,No,60517,184.0,1,0,7,3,205,0,0,0,0,0,0,222.0,180.0,175.0,218.0,41.57723736212717,
2012-07-24,22,184,7.1,No,53215,184.0,2,0,7,3,206,0,0,0,0,0,0,184.0,188.0,175.0,218.57142857142858,40.991288273067376,
2012-07-25,24,205,6.49,No,60523,205.0,3,0,7,3,207,0,0,0,0,0,0,184.0,197.0,188.0,218.0,41.513050156948594,
2012-07-26,28,209,11.38,No,55644,209.0,4,0,7,3,208,0,0,0,0,0,0,205.0,217.0,205.0,219.14285714285714,40.94479442464191,
2012-07-27,41,239,8.23,No,67097,239.0,5,0,7,3,209,0,0,0,0,0,0,209.0,217.0,213.0,218.0,41.12582319338215,
2012-07-28,39,301,10.29,No,69754,301.0,6,1,7,3,210,0,0,0,0,0,0,239.0,305.0,275.0,221.14285714285714,41.87054880393681,
2012-07-29,27,214,10.23,No,71237,214.0,7,1,7,3,211,0,0,0,0,0,0,301.0,222.0,209.0,220.57142857142858,40.54157184445424,
2012-07-30,16,180,6.19,No,56619,180.0,1,0,7,3,212,0,0,0,0,0,0,214.0,184.0,180.0,219.42857142857142,40.60729467660186,
2012-07-31,14,172,8.24,No,45829,172.0,2,0,7,3,213,0,0,0,0,0,0,180.0,184.0,188.0,218.85714285714286,41.21257320862393,223.9
2012-08-01,22,218,8.26,No,57814,218.0,3,0,8,3,214,0,0,0,0,0,0,172.0,205.0,197.0,217.14285714285714,43.11004744228643,221.7
2012-08-02,33,222,10.14,No,66691,222.0,4,0,8,3,215,0,0,0,0,0,0,218.0,209.0,217.0,219.0,42.77849927241484,221.86666666666667
2012-08-03,23,231,12.05,No,59139,231.0,5,0,8,3,216,0,0,0,0,0,0,222.0,239.0,217.0,220.85714285714286,42.55360764740777,220.66666666666666
2012-08-04,25,310,8.63,No,66645,310.0,6,1,8,3,217,0,0,0,0,0,0,231.0,301.0,305.0,219.71428571428572,42.090039541100765,219.86666666666667
2012-08-05,30,243,10.11,No,68447,243.0,7,1,8,3,218,0,0,0,0,0,0,310.0,214.0,222.0,221.0,45.022216737961685,223.0
2012-08-06,15,172,11.27,No,54153,172.0,1,0,8,3,219,0,0,0,0,0,0,243.0,180.0,184.0,225.14285714285714,45.60127400058237,222.9
2012-08-07,18,172,9.07,No,52186,172.0,2,0,8,3,220,0,0,0,0,0,0,172.0,172.0,184.0,224.0,46.99999999999998,216.4
2012-08-08,17,206,10.51,No,59029,206.0,3,0,8,3,221,0,0,0,0,0,0,172.0,218.0,205.0,224.0,46.99999999999998,214.06666666666666
2012-08-09,27,189,9.07,No,54063,189.0,4,0,8,3,222,0,0,0,0,0,0,206.0,222.0,209.0,222.28571428571428,47.47179613803786,215.1
2012-08-10,32,252,14.35,No,53911,252.0,5,0,8,3,223,0,0,0,0,0,0,189.0,231.0,239.0,217.57142857142858,49.115025341393334,215.56666666666666
2012-08-11,31,289,12.02,No,71035,289.0,6,1,8,3,224,0,0,0,0,0,0,252.0,310.0,301.0,220.57142857142858,50.68812202366261,217.7
2012-08-12,28,248,8.74,No,52517,248.0,7,1,8,3,225,0,0,0,0,0,0,289.0,243.0,214.0,217.57142857142858,44.7915808415567,220.5
2012-08-13,15,181,10.67,No,48202,181.0,1,0,8,3,226,0,0,0,0,0,0,248.0,172.0,180.0,218.28571428571428,45.30163457578646,221.66666666666666
2012-08-14,28,172,8.8,No,51847,172.0,2,0,8,3,227,0,0,0,0,0,0,181.0,172.0,172.0,219.57142857142858,43.874279264192786,218.53333333333333
2012-08-15,27,181,9.35,No,47950,181.0,3,0,8,3,228,0,0,0,0,0,0,172.0,206.0,218.0,219.57142857142858,43.874279264192786,217.3
2012-08-16,55,252,8.6,No,79361,252.0,4,0,8,3,229,0,0,0,0,0,0,181.0,189.0,222.0,216.0,46.12302389624219,217.33333333333334
2012-08-17,31,240,9.63,No,58840,240.0,5,0,8,3,230,0,0,0,0,0,0,252.0,252.0,231.0,225.0,46.12302389624223,219.46666666666667
2012-08-18,26,286,7.19,No,55232,286.0,6,1,8,3,231,0,0,0,0,0,0,240.0,289.0,310.0,223.28571428571428,45.16530484680425,220.9
2012-08-19,34,218,9.87,No,65389,218.0,7,1,8,3,232,0,0,0,0,0,0,286.0,248.0,243.0,222.85714285714286,44.44632932511062,223.2
2012-08-20,26,143,9.13,No,51590,143.0,1,0,8,3,233,0,0,0,0,0,0,218.0,181.0,172.0,218.57142857142858,43.04206137743687,223.23333333333332
2012-08-21,18,168,11.23,No,61107,168.0,2,0,8,3,234,0,0,0,0,0,0,143.0,172.0,172.0,213.14285714285714,50.34689189820476,217.83333333333334
2012-08-22,23,168,11.51,No,52338,168.0,3,0,8,3,235,0,0,0,0,0,0,168.0,181.0,206.0,212.57142857142858,50.91122058006833,216.03333333333333
2012-08-23,31,190,8.09,No,56459,190.0,4,0,8,3,236,0,0,0,0,0,0,168.0,252.0,189.0,210.71428571428572,52.46813091682182,215.5
2012-08-24,49,257,12.94,No,61924,257.0,5,0,8,3,237,0,0,0,0,0,0,190.0,240.0,252.0,201.85714285714286,49.485447596333934,215.7
2012-08-25,35,345,9.75,No,74817,345.0,6,1,8,3,238,0,0,0,0,0,0,257.0,286.0,289.0,204.28571428571428,52.02151569531672,217.43333333333334
2012-08-26,31,244,14.87,No,70306,244.0,7,1,8,3,239,0,0,0,0,0,0,345.0,218.0,248.0,212.71428571428572,69.35828305668632,221.96666666666667
2012-08-27,15,164,9.36,No,49529,164.0,1,0,8,3,240,0,0,0,0,0,0,244.0,143.0,181.0,216.42857142857142,70.37721492750602,222.13333333333333
2012-08-28,19,164,10.72,No,55764,164.0,2,0,8,3,241,0,0,0,0,0,0,164.0,168.0,172.0,219.42857142857142,67.096589935349,217.56666666666666
2012-08-29,29,139,10.91,No,59431,139.0,3,0,8,3,242,0,0,0,0,0,0,164.0,168.0,181.0,218.85714285714286,67.62255188773578,215.9
2012-08-30,35,144,10.15,No,57705,144.0,4,0,8,3,243,0,0,0,0,0,0,139.0,190.0,252.0,214.71428571428572,72.00396814461979,214.53333333333333
2012-08-31,40,219,9.22,No,60339,219.0,5,0,8,3,244,0,0,0,0,0,0,144.0,257.0,240.0,208.14285714285714,76.58857306288918,213.6
