Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2012-07-01,12,89,10.56,No,19532,89.0,7,1,7,3,183,0,0,0,0,0,0,,,,,,
2012-07-02,7,79,9.17,No,25403,79.0,1,0,7,3,184,0,0,0,0,0,0,89.0,,,,,
2012-07-03,7,97,9.49,No,17711,97.0,2,0,7,3,185,0,0,0,0,0,0,79.0,,,,,
2012-07-04,8,95,10.69,No,23336,95.0,3,0,7,3,186,0,0,0,0,0,0,97.0,,,,,
2012-07-05,8,81,10.39,No,22879,81.0,4,0,7,3,187,0,0,0,0,0,0,95.0,,,,,
2012-07-06,13,92,12.76,No,20918,92.0,5,0,7,3,188,0,0,0,0,0,0,81.0,,,,,
2012-07-07,13,137,8.93,No,21308,137.0,6,1,7,3,189,0,0,0,0,0,0,92.0,,,,,
2012-07-08,10,90,11.73,No,22472,90.0,7,1,7,3,190,0,0,0,0,0,0,137.0,89.0,,95.71428571428571,19.414035178312666,
2012-07-09,7,66,9.87,No,20388,66.0,1,0,7,3,191,0,0,0,0,0,0,90.0,79.0,,95.85714285714286,19.359998032270656,
2012-07-10,5,66,7.4,No,18678,66.0,2,0,7,3,192,0,0,0,0,0,0,66.0,97.0,,94.0,21.725560982400427,
2012-07-11,8,70,11.66,No,24364,70.0,3,0,7,3,193,0,0,0,0,0,0,66.0,95.0,,89.57142857142857,24.047571900000925,
2012-07-12,10,76,9.6,No,23707,76.0,4,0,7,3,194,0,0,0,0,0,0,70.0,81.0,,86.0,24.946609656090207,
2012-07-13,12,79,8.11,No,21728,79.0,5,0,7,3,195,0,0,0,0,0,0,76.0,92.0,,85.28571428571429,25.184084165164613,
2012-07-14,10,103,10.38,No,22557,103.0,6,1,7,3,196,0,0,0,0,0,0,79.0,137.0,,83.42857142857143,25.085567848580066,
2012-07-15,11,78,7.51,No,19341,78.0,7,1,7,3,197,0,0,0,0,0,0,103.0,90.0,89.0,78.57142857142857,13.685237092784094,
2012-07-16,6,67,10.19,No,22671,67.0,1,0,7,3,198,0,0,0,0,0,0,78.0,66.0,79.0,76.85714285714286,12.733532783279601,
2012-07-17,5,70,8.11,No,20870,70.0,2,0,7,3,199,0,0,0,0,0,0,67.0,66.0,97.0,77.0,12.596295751794093,
2012-07-18,7,73,6.75,No,22328,73.0,3,0,7,3,200,0,0,0,0,0,0,70.0,70.0,95.0,77.57142857142857,12.094863136295242,
2012-07-19,9,81,9.52,No,21355,81.0,4,0,7,3,201,0,0,0,0,0,0,73.0,76.0,81.0,78.0,11.832159566199202,
2012-07-20,12,81,8.99,No,23471,81.0,5,0,7,3,202,0,0,0,0,0,0,81.0,79.0,92.0,78.71428571428571,11.842216652219069,
2012-07-21,11,114,7.24,No,23647,114.0,6,1,7,3,203,0,0,0,0,0,0,81.0,103.0,137.0,79.0,11.874342087037892,
2012-07-22,11,82,6.5,No,23127,82.0,7,1,7,3,204,0,0,0,0,0,0,114.0,78.0,90.0,80.57142857142857,15.693492736982222,
2012-07-23,9,69,8.53,No,17733,69.0,1,0,7,3,205,0,0,0,0,0,0,82.0,67.0,66.0,81.14285714285714,15.65703858150885,
2012-07-24,8,69,7.23,No,21533,69.0,2,0,7,3,206,0,0,0,0,0,0,69.0,70.0,66.0,81.42857142857143,15.37158789083658,
2012-07-25,9,76,6.61,No,22028,76.0,3,0,7,3,207,0,0,0,0,0,0,69.0,73.0,70.0,81.28571428571429,15.499615970665038,
2012-07-26,12,78,11.59,No,14971,78.0,4,0,7,3,208,0,0,0,0,0,0,76.0,81.0,76.0,81.71428571428571,15.272134599920692,
2012-07-27,13,88,8.38,No,24626,88.0,5,0,7,3,209,0,0,0,0,0,0,78.0,81.0,79.0,81.28571428571429,15.337473561121294,
2012-07-28,13,112,10.48,No,29912,112.0,6,1,7,3,210,0,0,0,0,0,0,88.0,114.0,103.0,82.28571428571429,15.542568274626563,
2012-07-29,10,79,10.42,No,21111,79.0,7,1,7,3,211,0,0,0,0,0,0,112.0,82.0,78.0,82.0,14.86606874731849,
2012-07-30,6,67,6.31,No,24762,67.0,1,0,7,3,212,0,0,0,0,0,0,79.0,69.0,67.0,81.57142857142857,14.90924928645684,
2012-07-31,7,64,8.39,No,18873,64.0,2,0,7,3,213,0,0,0,0,0,0,67.0,69.0,70.0,81.28571428571429,15.206514894547492,83.46666666666667
2012-08-01,9,81,8.41,No,17580,81.0,3,0,8,3,214,0,0,0,0,0,0,64.0,76.0,73.0,80.57142857142857,15.977662979475868,82.63333333333334
2012-08-02,9,82,10.33,No,18984,82.0,4,0,8,3,215,0,0,0,0,0,0,81.0,78.0,81.0,81.28571428571429,15.850491955712123,82.7
2012-08-03,10,85,12.27,No,22136,85.0,5,0,8,3,216,0,0,0,0,0,0,82.0,88.0,81.0,81.85714285714286,15.784259790780709,82.2
2012-08-04,9,114,8.79,No,21602,114.0,6,1,8,3,217,0,0,0,0,0,0,85.0,112.0,114.0,81.42857142857143,15.629642167551815,81.86666666666666
2012-08-05,17,90,10.29,No,24428,90.0,7,1,8,3,218,0,0,0,0,0,0,114.0,79.0,82.0,81.71428571428571,16.28613199130152,82.96666666666667
2012-08-06,6,63,11.48,No,20836,63.0,1,0,8,3,219,0,0,0,0,0,0,90.0,67.0,69.0,83.28571428571429,16.509737386507037,82.9
2012-08-07,7,63,9.24,No,20904,63.0,2,0,8,3,220,0,0,0,0,0,0,63.0,64.0,69.0,82.71428571428571,17.221249332479573,80.43333333333334
2012-08-08,6,76,10.71,No,17010,76.0,3,0,8,3,221,0,0,0,0,0,0,63.0,81.0,76.0,82.57142857142857,17.4055273103799,79.53333333333333
2012-08-09,9,69,9.23,No,22053,69.0,4,0,8,3,222,0,0,0,0,0,0,76.0,82.0,78.0,81.85714285714286,17.582458791160484,79.86666666666666
2012-08-10,11,93,14.62,No,20532,93.0,5,0,8,3,223,0,0,0,0,0,0,69.0,85.0,88.0,80.0,18.239152027072585,79.96666666666667
2012-08-11,10,107,12.24,No,20392,107.0,6,1,8,3,224,0,0,0,0,0,0,93.0,114.0,112.0,81.14285714285714,18.84523433504759,80.73333333333333
2012-08-12,13,91,8.9,No,21727,91.0,7,1,8,3,225,0,0,0,0,0,0,107.0,90.0,79.0,80.14285714285714,16.896040674554197,81.76666666666667
2012-08-13,6,67,10.86,No,21963,67.0,1,0,8,3,226,0,0,0,0,0,0,91.0,63.0,67.0,80.28571428571429,16.99719864874095,82.16666666666667
2012-08-14,9,63,8.96,No,21853,63.0,2,0,8,3,227,0,0,0,0,0,0,67.0,63.0,64.0,80.85714285714286,16.375068156891945,80.96666666666667
2012-08-15,9,67,9.52,No,19088,67.0,3,0,8,3,228,0,0,0,0,0,0,63.0,76.0,81.0,80.85714285714286,16.375068156891945,80.46666666666667
2012-08-16,16,93,8.76,No,29291,93.0,4,0,8,3,229,0,0,0,0,0,0,67.0,69.0,82.0,79.57142857142857,17.154757774032063,80.46666666666667
2012-08-17,9,88,9.8,No,23106,88.0,5,0,8,3,230,0,0,0,0,0,0,93.0,93.0,85.0,83.0,17.088007490635057,81.23333333333333
2012-08-18,9,105,7.33,No,21944,105.0,6,1,8,3,231,0,0,0,0,0,0,88.0,107.0,114.0,82.28571428571429,16.700441967348095,81.73333333333333
2012-08-19,12,80,10.05,No,25229,80.0,7,1,8,3,232,0,0,0,0,0,0,105.0,91.0,90.0,82.0,16.21727474022684,82.53333333333333
2012-08-20,11,52,9.29,No,18984,52.0,1,0,8,3,233,0,0,0,0,0,0,80.0,67.0,63.0,80.42857142857143,15.725320800724976,82.5
2012-08-21,7,62,11.44,No,18873,62.0,2,0,8,3,234,0,0,0,0,0,0,52.0,63.0,63.0,78.28571428571429,18.616428996223405,80.43333333333334
2012-08-22,8,62,11.72,No,18011,62.0,3,0,8,3,235,0,0,0,0,0,0,62.0,67.0,76.0,78.14285714285714,18.756586144859163,79.76666666666667
2012-08-23,14,69,8.24,No,21435,69.0,4,0,8,3,236,0,0,0,0,0,0,62.0,93.0,69.0,77.42857142857143,19.337848405455553,79.53333333333333
2012-08-24,13,94,13.17,No,21515,94.0,5,0,8,3,237,0,0,0,0,0,0,69.0,88.0,93.0,74.0,18.21171783953027,79.53333333333333
2012-08-25,14,126,9.93,No,22516,126.0,6,1,8,3,238,0,0,0,0,0,0,94.0,105.0,107.0,74.85714285714286,19.09998753427662,80.13333333333334
2012-08-26,12,89,15.14,No,18622,89.0,7,1,8,3,239,0,0,0,0,0,0,126.0,80.0,91.0,77.85714285714286,25.27468147790438,81.73333333333333
