store,objective,pr_type,algorithm,mean_profit,std_profit
lancaster,O2,coarse,random,1183.7034534441113,249.080384676658
lancaster,O2,coarse,hill_climbing,-4500000589.235071,4974936652.550046
lancaster,O2,coarse,simulated_annealing,-2500000887.598138,4330126506.467328
lancaster,O2,coarse,genetic,2446.7632566202947,166.72831753007657
lancaster,O2,coarse,pso,2797.571627697336,240.74351095305676
lancaster,O2,coarse,de,2495.6919768420494,124.43437495645072
lancaster,O2,fine,random,1187.5149461664091,249.5596443052371
lancaster,O2,fine,hill_climbing,-4500000589.235071,4974936652.550046
lancaster,O2,fine,simulated_annealing,-2500000877.4049277,4330126512.352376
lancaster,O2,fine,genetic,2435.9765823645807,205.74650759921747
lancaster,O2,fine,pso,2873.1710424794355,223.05539937696662
lancaster,O2,fine,de,2448.0690484419288,131.92429235705282
