store,objective,pr_type,algorithm,mean_profit,std_profit
richmond,O3,coarse,random,-0.2854243350055176,0.07855757273372914
richmond,O3,coarse,hill_climbing,-0.8573090623468627,0.23694332705839935
richmond,O3,coarse,simulated_annealing,-0.9061320321673664,0.23679647703688456
richmond,O3,coarse,genetic,-0.0256850346729754,0.039927903302659024
richmond,O3,coarse,pso,0.08475058078492428,0.015623623660908801
richmond,O3,coarse,de,0.07594238269782963,0.007540580553592149
richmond,O3,fine,random,-0.28533302410648687,0.07958283830850338
richmond,O3,fine,hill_climbing,-0.8573090623468627,0.23694332705839935
richmond,O3,fine,simulated_annealing,-0.9094040299042021,0.23805383476671935
richmond,O3,fine,genetic,-0.026816833551981743,0.04753930136896554
richmond,O3,fine,pso,0.08650769081220375,0.015136791050701016
richmond,O3,fine,de,0.07411843559177003,0.008375688583887039
