Loja,Data,Horizonte,Clientes_Previstos
baltimore,2014-06-15,1,93
baltimore,2014-06-16,2,77
baltimore,2014-06-17,3,87
baltimore,2014-06-18,4,113
baltimore,2014-06-19,5,99
baltimore,2014-06-20,6,107
baltimore,2014-06-21,7,119
lancaster,2014-06-15,1,109
lancaster,2014-06-16,2,88
lancaster,2014-06-17,3,104
lancaster,2014-06-18,4,150
lancaster,2014-06-19,5,136
lancaster,2014-06-20,6,147
lancaster,2014-06-21,7,163
philadelphia,2014-06-15,1,192
philadelphia,2014-06-16,2,156
philadelphia,2014-06-17,3,195
philadelphia,2014-06-18,4,213
philadelphia,2014-06-19,5,178
philadelphia,2014-06-20,6,197
philadelphia,2014-06-21,7,204
richmond,2014-06-15,1,57
richmond,2014-06-16,2,46
richmond,2014-06-17,3,50
richmond,2014-06-18,4,64
richmond,2014-06-19,5,57
richmond,2014-06-20,6,66
richmond,2014-06-21,7,70
