Loja,Data,Horizonte,Clientes_Previstos,Sales_Ratio,Sales_Previstas
baltimore,2014-06-15,1,93,293.84660666296975,27328
baltimore,2014-06-16,2,77,293.84660666296975,22626
baltimore,2014-06-17,3,87,293.84660666296975,25565
baltimore,2014-06-18,4,113,293.84660666296975,33205
baltimore,2014-06-19,5,99,293.84660666296975,29091
baltimore,2014-06-20,6,107,293.84660666296975,31442
baltimore,2014-06-21,7,119,293.84660666296975,34968
lancaster,2014-06-15,1,109,294.10604857690873,32058
lancaster,2014-06-16,2,88,294.10604857690873,25881
lancaster,2014-06-17,3,104,294.10604857690873,30587
lancaster,2014-06-18,4,150,294.10604857690873,44116
lancaster,2014-06-19,5,136,294.10604857690873,39998
lancaster,2014-06-20,6,147,294.10604857690873,43234
lancaster,2014-06-21,7,163,294.10604857690873,47939
philadelphia,2014-06-15,1,192,293.1628469019626,56287
philadelphia,2014-06-16,2,156,293.1628469019626,45733
philadelphia,2014-06-17,3,195,293.1628469019626,57167
philadelphia,2014-06-18,4,213,293.1628469019626,62444
philadelphia,2014-06-19,5,178,293.1628469019626,52183
philadelphia,2014-06-20,6,197,293.1628469019626,57753
philadelphia,2014-06-21,7,204,293.1628469019626,59805
richmond,2014-06-15,1,57,290.86491122424775,16579
richmond,2014-06-16,2,46,290.86491122424775,13380
richmond,2014-06-17,3,50,290.86491122424775,14543
richmond,2014-06-18,4,64,290.86491122424775,18615
richmond,2014-06-19,5,57,290.86491122424775,16579
richmond,2014-06-20,6,66,290.86491122424775,19197
richmond,2014-06-21,7,70,290.86491122424775,20361
