start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-01,2013-07-07,4822.0,16950,10605.0,"[0, 15, 15, 7, 11, 19, 9]","[12, 0, 2, 15, 11, 12, 15]","[0.0, 0.0, 0.0, 0.08934693322332392, 0.2986327697776248, 0.0, 0.2633042258382203]","[105, 120, 129, 153, 168, 202, 146]","[87.6766586303711, 90.27943420410156, 101.28187561035156, 149.755126953125, 145.4429931640625, 201.59666442871094, 165.23147583007812]"
2013-07-02,2013-07-08,5106.0,15334,10430.0,"[8, 0, 20, 20, 11, 14, 0]","[5, 15, 0, 3, 20, 11, 15]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[120, 129, 153, 168, 202, 146, 105]","[81.10140228271484, 108.32205963134766, 133.90631103515625, 142.7476043701172, 206.24534606933594, 163.70196533203125, 105.6200180053711]"
2013-07-03,2013-07-09,4773.0,16830,10880.0,"[11, 11, 8, 16, 11, 6, 11]","[6, 9, 12, 16, 14, 10, 8]","[0.15599454709056168, 0.11306715554332791, 0.11221060202929584, 0.0887224304750506, 0.08513582476875273, 0.07563421445920282, 0.09052964551824753]","[129, 153, 168, 202, 146, 105, 107]","[111.02803039550781, 131.75897216796875, 153.4730987548828, 208.08677673339844, 163.14764404296875, 105.47509765625, 121.76490020751953]"
2013-07-04,2013-07-10,5218.0,17745,11040.0,"[20, 11, 20, 1, 0, 20, 20]","[3, 13, 13, 20, 15, 0, 0]","[0.0, 0.0, 0.0, 0.3, 0.3, 0.0, 0.0]","[153, 168, 202, 146, 105, 107, 112]","[139.2329559326172, 157.80926513671875, 209.16226196289062, 149.727294921875, 106.82044219970703, 121.1393814086914, 118.89590454101562]"
2013-07-05,2013-07-11,5181.0,16540,10815.0,"[3, 20, 12, 18, 20, 11, 20]","[20, 13, 12, 0, 0, 7, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0]","[168, 202, 146, 105, 107, 112, 110]","[158.2037811279297, 208.89149475097656, 154.4700469970703, 108.85167694091797, 118.62051391601562, 119.17022705078125, 135.520263671875]"
2013-07-06,2013-07-12,4208.0,15487,11490.0,"[11, 19, 19, 0, 0, 10, 6]","[20, 7, 0, 18, 17, 11, 15]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[202, 146, 105, 107, 112, 110, 129]","[207.19189453125, 164.60287475585938, 107.09272766113281, 127.81015014648438, 121.5999526977539, 137.02040100097656, 142.24929809570312]"
2013-07-07,2013-07-13,3735.0,16364,11170.0,"[13, 10, 10, 16, 9, 12, 15]","[13, 7, 9, 4, 11, 10, 14]","[0.1990359017930029, 0.08850436836945268, 0.21203913717603812, 0.07558216699385112, 0.07356511389475599, 0.08476525233237281, 0.08913804018278415]","[146, 105, 107, 112, 110, 129, 172]","[169.33934020996094, 110.7723617553711, 121.61093139648438, 121.40088653564453, 133.98095703125, 142.009521484375, 190.97938537597656]"
2013-07-08,2013-07-14,3990.0,15866,10490.0,"[12, 9, 20, 20, 13, 7, 0]","[5, 8, 0, 0, 9, 20, 20]","[0.0014395599218040688, 0.0, 0.3, 0.3, 0.0, 0.0, 0.0]","[105, 107, 112, 110, 129, 172, 133]","[106.54876708984375, 111.75923156738281, 118.05255889892578, 131.1144256591797, 141.73683166503906, 182.22171020507812, 148.15101623535156]"
2013-07-09,2013-07-15,4368.0,15153,10390.0,"[20, 20, 20, 4, 9, 20, 17]","[0, 0, 2, 17, 19, 4, 0]","[0.0, 0.2544069211181203, 0.0, 0.026203920292064184, 0.0, 0.0, 0.0]","[107, 112, 110, 129, 172, 133, 112]","[118.78658294677734, 119.10701751708984, 134.06814575195312, 142.98403930664062, 189.27310180664062, 148.43582153320312, 100.26713562011719]"
2013-07-10,2013-07-16,4148.0,15358,10210.0,"[11, 3, 0, 9, 14, 16, 17]","[7, 16, 20, 19, 9, 0, 0]","[0.0, 0.20497960896175055, 0.0, 0.0, 0.0, 0.0, 0.3]","[112, 110, 129, 172, 133, 112, 131]","[116.5692367553711, 131.18846130371094, 137.87362670898438, 188.8620147705078, 148.77976989746094, 97.70268249511719, 101.7200698852539]"
