start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-01,2013-07-07,5028.0,14386,9410.0,"[9, 0, 17, 20, 16, 20, 20]","[5, 13, 0, 4, 7, 0, 6]","[0.08523056573959019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[105, 120, 129, 153, 168, 202, 146]","[87.6766586303711, 90.27943420410156, 101.28187561035156, 149.755126953125, 145.4429931640625, 201.59666442871094, 165.23147583007812]"
2013-07-02,2013-07-08,5682.0,14688,9170.0,"[13, 18, 20, 20, 20, 20, 17]","[0, 0, 2, 0, 12, 0, 0]","[0.020726085374951204, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[120, 129, 153, 168, 202, 146, 105]","[81.10140228271484, 108.32205963134766, 133.90631103515625, 142.7476043701172, 206.24534606933594, 163.70196533203125, 105.6200180053711]"
2013-07-03,2013-07-09,5766.0,16269,10760.0,"[2, 15, 20, 17, 20, 18, 17]","[14, 6, 5, 15, 6, 0, 2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[129, 153, 168, 202, 146, 105, 107]","[111.02803039550781, 131.75897216796875, 153.4730987548828, 208.08677673339844, 163.14764404296875, 105.47509765625, 121.76490020751953]"
2013-07-04,2013-07-10,5695.0,17016,10805.0,"[20, 20, 20, 1, 18, 7, 19]","[3, 5, 12, 20, 0, 11, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3]","[153, 168, 202, 146, 105, 107, 112]","[139.2329559326172, 157.80926513671875, 209.16226196289062, 149.727294921875, 106.82044219970703, 121.1393814086914, 118.89590454101562]"
2013-07-05,2013-07-11,5176.0,15334,10360.0,"[20, 12, 2, 0, 20, 20, 20]","[0, 19, 20, 15, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[168, 202, 146, 105, 107, 112, 110]","[158.2037811279297, 208.89149475097656, 154.4700469970703, 108.85167694091797, 118.62051391601562, 119.17022705078125, 135.520263671875]"
2013-07-06,2013-07-12,5193.0,15487,10505.0,"[11, 20, 18, 20, 20, 20, 20]","[20, 6, 0, 0, 0, 0, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[202, 146, 105, 107, 112, 110, 129]","[207.19189453125, 164.60287475585938, 107.09272766113281, 127.81015014648438, 121.5999526977539, 137.02040100097656, 142.24929809570312]"
2013-07-07,2013-07-13,4538.0,14382,9990.0,"[20, 9, 20, 14, 13, 20, 20]","[0, 8, 0, 5, 8, 0, 10]","[0.0, 0.012453364472068379, 0.0, 0.0, 0.0, 0.0, 0.0]","[146, 105, 107, 112, 110, 129, 172]","[169.33934020996094, 110.7723617553711, 121.61093139648438, 121.40088653564453, 133.98095703125, 142.009521484375, 190.97938537597656]"
2013-07-08,2013-07-14,4669.0,14071,8980.0,"[0, 19, 20, 20, 20, 20, 20]","[15, 0, 0, 0, 3, 0, 0]","[0.2519848995111807, 0.0, 0.0, 0.0, 0.0, 2.375943187897855e-05, 0.0]","[105, 107, 112, 110, 129, 172, 133]","[106.54876708984375, 111.75923156738281, 118.05255889892578, 131.1144256591797, 141.73683166503906, 182.22171020507812, 148.15101623535156]"
2013-07-09,2013-07-15,4648.0,14382,9880.0,"[0, 16, 20, 0, 20, 20, 16]","[17, 3, 0, 20, 10, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[107, 112, 110, 129, 172, 133, 112]","[118.78658294677734, 119.10701751708984, 134.06814575195312, 142.98403930664062, 189.27310180664062, 148.43582153320312, 100.26713562011719]"
2013-07-10,2013-07-16,4610.0,14450,9990.0,"[0, 5, 19, 20, 19, 3, 13]","[16, 14, 3, 9, 5, 11, 3]","[0.0006409572658834285, 0.0, 0.0, 0.0, 0.008838350979008083, 0.0, 0.0]","[112, 110, 129, 172, 133, 112, 131]","[116.5692367553711, 131.18846130371094, 137.87362670898438, 188.8620147705078, 148.77976989746094, 97.70268249511719, 101.7200698852539]"
