start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-01,2013-07-07,8487.0,24457,16660.0,"[20, 20, 20, 20, 17, 20, 20]","[6, 6, 5, 16, 20, 20, 20]","[0.0, 0.029561862894861155, 0.023633895537577294, 0.0, 0.0, 0.0, 0.0]","[156, 177, 192, 228, 249, 299, 217]","[160.38275146484375, 162.82830810546875, 158.95448303222656, 229.6181640625, 244.9892120361328, 347.9470520019531, 271.40618896484375]"
2013-07-02,2013-07-08,8981.0,26193,16855.0,"[20, 20, 20, 20, 20, 20, 20]","[8, 8, 15, 20, 20, 20, 5]","[0.0, 0.0, 0.0, 0.0, 0.024546412408406364, 0.030398914920713345, 0.3]","[177, 192, 228, 249, 299, 217, 155]","[179.64927673339844, 175.8409881591797, 227.21324157714844, 255.47506713867188, 359.47430419921875, 276.8428039550781, 158.83180236816406]"
2013-07-03,2013-07-09,8752.0,26163,16355.0,"[20, 20, 17, 19, 20, 2, 19]","[7, 15, 20, 20, 20, 20, 7]","[0.08779169521907693, 0.3, 0.0, 0.0, 0.022668314357067523, 0.018635937943693535, 0.0]","[192, 228, 249, 299, 217, 155, 159]","[171.25770568847656, 224.9416961669922, 242.42056274414062, 363.597900390625, 299.6081848144531, 167.37692260742188, 163.05987548828125]"
2013-07-04,2013-07-10,8561.0,24177,16245.0,"[20, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 0, 0, 11]","[0.020471375014705178, 0.020427022073982292, 0.01644579533210573, 0.03391715214093193, 0.018182614831282723, 0.0, 0.0]","[228, 249, 299, 217, 155, 159, 165]","[240.23416137695312, 260.3684997558594, 369.4698486328125, 293.07952880859375, 185.12452697753906, 181.33929443359375, 200.92605590820312]"
2013-07-05,2013-07-11,7594.0,24454,15635.0,"[20, 20, 20, 20, 5, 20, 20]","[19, 20, 20, 7, 20, 9, 0]","[0.02599322465451912, 0.3, 0.0, 0.0, 0.0, 0.0, 0.024446271003642276]","[249, 299, 217, 155, 159, 165, 161]","[238.97244262695312, 334.7201232910156, 273.74090576171875, 169.29129028320312, 173.21603393554688, 188.1007843017578, 221.45721435546875]"
2013-07-06,2013-07-12,7078.0,21165,14435.0,"[20, 20, 20, 20, 0, 20, 20]","[20, 20, 3, 7, 20, 13, 0]","[0.02445032760880595, 0.0, 0.0, 0.02249258836367143, 0.024282250001003498, 0.0, 0.08986369602824561]","[299, 217, 155, 159, 165, 161, 190]","[340.0386047363281, 277.47100830078125, 144.45306396484375, 171.56822204589844, 154.7468719482422, 211.66104125976562, 234.66571044921875]"
2013-07-07,2013-07-13,5354.0,21677,15695.0,"[20, 20, 4, 20, 13, 20, 0]","[20, 8, 20, 9, 20, 17, 20]","[0.027649730431212785, 0.3, 0.0, 0.0, 0.02330355793636086, 0.03396379426736059, 0.0]","[217, 155, 159, 165, 161, 190, 254]","[265.698974609375, 176.2620391845703, 165.19432067871094, 182.05441284179688, 217.61825561523438, 237.31072998046875, 309.6499328613281]"
2013-07-08,2013-07-14,6258.0,21821,16075.0,"[20, 20, 16, 13, 15, 20, 20]","[6, 0, 13, 20, 20, 20, 17]","[0.038184692355162066, 0.0, 0.033333760719993055, 0.0, 0.022512381482636314, 0.0, 0.03172055392331061]","[155, 159, 165, 161, 190, 254, 197]","[163.78712463378906, 173.94070434570312, 187.6080322265625, 215.40260314941406, 228.8759765625, 310.4270935058594, 240.27798461914062]"
2013-07-09,2013-07-15,6484.0,22667,16135.0,"[20, 16, 20, 20, 20, 20, 19]","[7, 13, 13, 20, 20, 17, 2]","[0.13119857580586372, 0.018456678751340175, 0.023240937389805733, 0.0, 0.08896108015195024, 0.022294832883496134, 0.0]","[159, 165, 161, 190, 254, 197, 164]","[170.30130004882812, 188.2760467529297, 214.9426727294922, 225.33489990234375, 301.5102233886719, 237.29331970214844, 129.77084350585938]"
2013-07-10,2013-07-16,6185.0,22371,15555.0,"[20, 12, 15, 20, 15, 0, 0]","[9, 20, 20, 20, 20, 17, 20]","[0.0, 0.3, 0.018720467389668136, 0.03331436761086291, 0.0, 0.01961508483126178, 0.0]","[165, 161, 190, 254, 197, 164, 192]","[181.1746063232422, 215.43276977539062, 227.85009765625, 306.733154296875, 232.5416259765625, 120.6377944946289, 164.9775848388672]"
