start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-01,2013-07-07,7665.0,20567,13340.0,"[20, 20, 20, 20, 20, 20, 20]","[0, 0, 0, 15, 18, 0, 20]","[0.0, 0.0247932238714756, 0.023448729995586115, 0.028979781941919337, 0.038213356646017944, 0.0, 0.0]","[156, 177, 192, 228, 249, 299, 217]","[160.38275146484375, 162.82830810546875, 158.95448303222656, 229.6181640625, 244.9892120361328, 347.9470520019531, 271.40618896484375]"
2013-07-02,2013-07-08,9097.0,27164,16975.0,"[20, 6, 20, 20, 20, 20, 20]","[8, 20, 15, 20, 20, 20, 5]","[0.022616950958648668, 0.033941158961404136, 0.0, 0.02555681721453141, 0.3, 0.031318499110723465, 0.0]","[177, 192, 228, 249, 299, 217, 155]","[179.64927673339844, 175.8409881591797, 227.21324157714844, 255.47506713867188, 359.47430419921875, 276.8428039550781, 158.83180236816406]"
2013-07-03,2013-07-09,8685.0,25237,16225.0,"[0, 20, 17, 20, 20, 0, 7]","[20, 15, 20, 20, 20, 20, 17]","[0.0, 0.0342466639481821, 0.023950745517583895, 0.028945958855725776, 0.0, 0.3, 0.031071420312440604]","[192, 228, 249, 299, 217, 155, 159]","[171.25770568847656, 224.9416961669922, 242.42056274414062, 363.597900390625, 299.6081848144531, 167.37692260742188, 163.05987548828125]"
2013-07-04,2013-07-10,7667.0,24937,16825.0,"[17, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 0, 8, 11]","[0.0, 0.0, 0.0, 0.02448331915357624, 0.0, 0.3, 0.0]","[228, 249, 299, 217, 155, 159, 165]","[240.23416137695312, 260.3684997558594, 369.4698486328125, 293.07952880859375, 185.12452697753906, 181.33929443359375, 200.92605590820312]"
2013-07-05,2013-07-11,7759.0,23293,16125.0,"[20, 20, 20, 20, 19, 20, 20]","[17, 20, 20, 0, 8, 9, 14]","[0.015779206444793775, 0.03538893247568578, 0.026096483985732402, 0.028218014341363416, 0.0, 0.0, 0.0]","[249, 299, 217, 155, 159, 165, 161]","[238.97244262695312, 334.7201232910156, 273.74090576171875, 169.29129028320312, 173.21603393554688, 188.1007843017578, 221.45721435546875]"
2013-07-06,2013-07-12,6288.0,23120,16305.0,"[20, 20, 0, 6, 14, 20, 15]","[20, 20, 20, 19, 10, 13, 20]","[0.0176946365145653, 0.0, 0.0, 0.02327032111346986, 0.29654971546985964, 0.0, 0.0]","[299, 217, 155, 159, 165, 161, 190]","[340.0386047363281, 277.47100830078125, 144.45306396484375, 171.56822204589844, 154.7468719482422, 211.66104125976562, 234.66571044921875]"
2013-07-07,2013-07-13,6760.0,21679,15420.0,"[20, 20, 4, 20, 20, 20, 20]","[20, 8, 20, 9, 14, 0, 20]","[0.03503377999320797, 0.0, 0.0, 0.0, 0.03489352995029169, 0.021464445234512644, 0.03584861743880605]","[217, 155, 159, 165, 161, 190, 254]","[265.698974609375, 176.2620391845703, 165.19432067871094, 182.05441284179688, 217.61825561523438, 237.31072998046875, 309.6499328613281]"
2013-07-08,2013-07-14,6750.0,21619,15190.0,"[18, 20, 7, 12, 18, 20, 0]","[8, 7, 19, 20, 17, 20, 18]","[0.0, 0.0883846096727752, 0.0, 0.033612677791697874, 0.024365539993374517, 0.0336389409049965, 0.029956388476491538]","[155, 159, 165, 161, 190, 254, 197]","[163.78712463378906, 173.94070434570312, 187.6080322265625, 215.40260314941406, 228.8759765625, 310.4270935058594, 240.27798461914062]"
2013-07-09,2013-07-15,6688.0,21792,15620.0,"[20, 20, 20, 20, 20, 16, 20]","[7, 10, 13, 15, 20, 20, 0]","[0.026640221878436725, 0.0, 0.0, 0.0, 0.018821874344217497, 0.022975217726754083, 0.0]","[159, 165, 161, 190, 254, 197, 164]","[170.30130004882812, 188.2760467529297, 214.9426727294922, 225.33489990234375, 301.5102233886719, 237.29331970214844, 129.77084350585938]"
2013-07-10,2013-07-16,6515.0,22673,14640.0,"[20, 16, 20, 20, 20, 20, 20]","[8, 17, 15, 20, 16, 0, 0]","[0.3, 0.0, 0.03126127611729569, 0.022600506368924547, 0.0, 0.3, 0.0]","[165, 161, 190, 254, 197, 164, 192]","[181.1746063232422, 215.43276977539062, 227.85009765625, 306.733154296875, 232.5416259765625, 120.6377944946289, 164.9775848388672]"
