start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-01,2013-07-07,8340.0,25350,16860.0,"[0, 3, 7, 20, 13, 20, 20]","[20, 20, 20, 16, 20, 20, 20]","[0.2962315649446311, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[193, 220, 238, 283, 309, 372, 269]","[158.74838256835938, 158.27743530273438, 180.1422576904297, 232.39796447753906, 219.26724243164062, 267.72442626953125, 259.99432373046875]"
2013-07-02,2013-07-08,9125.0,25160,16755.0,"[4, 11, 20, 14, 20, 20, 20]","[20, 17, 16, 20, 20, 19, 6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[220, 238, 283, 309, 372, 269, 193]","[163.40391540527344, 184.4068145751953, 229.49322509765625, 224.66937255859375, 288.7317199707031, 251.53378295898438, 165.92835998535156]"
2013-07-03,2013-07-09,9655.0,27809,17695.0,"[20, 20, 20, 20, 20, 20, 6]","[12, 19, 20, 20, 18, 9, 20]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0]","[238, 283, 309, 372, 269, 193, 197]","[206.42129516601562, 246.798095703125, 262.8395690917969, 313.5329895019531, 249.24642944335938, 184.4021453857422, 179.17469787597656]"
2013-07-04,2013-07-10,9138.0,27158,17530.0,"[20, 20, 20, 18, 7, 0, 9]","[20, 20, 20, 20, 20, 20, 20]","[0.0007695677320102773, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0]","[283, 309, 372, 269, 193, 197, 206]","[253.54953002929688, 262.81500244140625, 313.771240234375, 249.3964385986328, 183.49795532226562, 187.2111358642578, 192.0905303955078]"
2013-07-05,2013-07-11,9464.0,27095,17130.0,"[20, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 9, 9, 11, 11]","[0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0]","[309, 372, 269, 193, 197, 206, 202]","[266.0483093261719, 317.42303466796875, 255.0523223876953, 186.3726348876953, 185.6728515625, 197.76080322265625, 201.49847412109375]"
2013-07-06,2013-07-12,8879.0,25041,16875.0,"[20, 20, 9, 9, 8, 0, 20]","[20, 20, 20, 20, 20, 20, 17]","[0.0, 0.0044037830313577876, 0.0, 0.0, 0.0, 0.0, 0.0]","[372, 269, 193, 197, 206, 202, 238]","[310.8070983886719, 257.41485595703125, 195.11019897460938, 193.8295440673828, 188.778076171875, 198.72142028808594, 239.6084442138672]"
2013-07-07,2013-07-13,8865.0,26850,17640.0,"[20, 18, 7, 19, 20, 20, 20]","[20, 11, 20, 12, 12, 20, 20]","[0.0, 0.29669498583747533, 0.0, 0.0, 0.0, 0.0, 0.0]","[269, 193, 197, 206, 202, 238, 318]","[264.35687255859375, 183.59361267089844, 180.41717529296875, 200.0541229248047, 208.43536376953125, 247.92750549316406, 297.2549743652344]"
2013-07-08,2013-07-14,8581.0,24939,17065.0,"[0, 20, 20, 20, 20, 20, 20]","[20, 9, 11, 12, 20, 20, 19]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[193, 197, 206, 202, 238, 318, 247]","[180.73898315429688, 180.87059020996094, 194.56478881835938, 206.7851104736328, 245.2057647705078, 301.1432800292969, 253.481201171875]"
2013-07-09,2013-07-15,8662.0,24753,16660.0,"[20, 11, 11, 20, 20, 20, 20]","[9, 19, 20, 20, 20, 20, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09125007775015141]","[197, 206, 202, 238, 318, 247, 206]","[183.3319549560547, 199.03915405273438, 208.37808227539062, 248.1054229736328, 297.2011413574219, 249.99635314941406, 180.19752502441406]"
2013-07-10,2013-07-16,9133.0,24582,16135.0,"[20, 12, 20, 20, 20, 20, 20]","[11, 20, 18, 20, 18, 9, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[206, 202, 238, 318, 247, 206, 242]","[200.8513946533203, 212.21133422851562, 247.9248046875, 298.76416015625, 250.3433380126953, 182.8767852783203, 185.05906677246094]"
