start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-01,2013-07-07,8140.0,22950,15400.0,"[0, 20, 20, 20, 20, 20, 20]","[20, 0, 0, 16, 14, 20, 20]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[193, 220, 238, 283, 309, 372, 269]","[158.74838256835938, 158.27743530273438, 180.1422576904297, 232.39796447753906, 219.26724243164062, 267.72442626953125, 259.99432373046875]"
2013-07-02,2013-07-08,8994.0,25095,16580.0,"[4, 7, 20, 14, 20, 20, 20]","[20, 20, 15, 20, 20, 18, 6]","[0.0, 0.0, 0.0, 0.0795302495158929, 0.0, 0.0, 0.0]","[220, 238, 283, 309, 372, 269, 193]","[163.40391540527344, 184.4068145751953, 229.49322509765625, 224.66937255859375, 288.7317199707031, 251.53378295898438, 165.92835998535156]"
2013-07-03,2013-07-09,8819.0,24281,15255.0,"[20, 20, 20, 20, 20, 20, 20]","[12, 18, 20, 20, 0, 9, 0]","[0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0]","[238, 283, 309, 372, 269, 193, 197]","[206.42129516601562, 246.798095703125, 262.8395690917969, 313.5329895019531, 249.24642944335938, 184.4021453857422, 179.17469787597656]"
2013-07-04,2013-07-10,9839.0,25721,16635.0,"[19, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 19, 9, 9, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[283, 309, 372, 269, 193, 197, 206]","[253.54953002929688, 262.81500244140625, 313.771240234375, 249.3964385986328, 183.49795532226562, 187.2111358642578, 192.0905303955078]"
2013-07-05,2013-07-11,8789.0,24281,15285.0,"[20, 20, 20, 20, 20, 20, 20]","[20, 20, 19, 0, 9, 11, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3]","[309, 372, 269, 193, 197, 206, 202]","[266.0483093261719, 317.42303466796875, 255.0523223876953, 186.3726348876953, 185.6728515625, 197.76080322265625, 201.49847412109375]"
2013-07-06,2013-07-12,8325.0,25265,15595.0,"[20, 20, 20, 0, 20, 20, 17]","[20, 20, 10, 20, 10, 0, 19]","[0.0, 0.0, 0.0, 0.0, 0.2962073215850223, 0.3, 0.0]","[372, 269, 193, 197, 206, 202, 238]","[310.8070983886719, 257.41485595703125, 195.11019897460938, 193.8295440673828, 188.778076171875, 198.72142028808594, 239.6084442138672]"
2013-07-07,2013-07-13,8562.0,25161,16250.0,"[20, 20, 20, 20, 20, 20, 20]","[20, 9, 8, 11, 0, 18, 20]","[0.0, 0.07721105650866686, 0.0, 0.0, 0.3, 0.0, 0.0]","[269, 193, 197, 206, 202, 238, 318]","[264.35687255859375, 183.59361267089844, 180.41717529296875, 200.0541229248047, 208.43536376953125, 247.92750549316406, 297.2549743652344]"
2013-07-08,2013-07-14,8981.0,25625,17205.0,"[20, 16, 9, 20, 20, 20, 20]","[8, 12, 20, 12, 18, 20, 19]","[0.08696832407615059, 0.0, 0.0, 0.003911923297890702, 0.0, 0.0, 0.0]","[193, 197, 206, 202, 238, 318, 247]","[180.73898315429688, 180.87059020996094, 194.56478881835938, 206.7851104736328, 245.2057647705078, 301.1432800292969, 253.481201171875]"
2013-07-09,2013-07-15,8796.0,24939,16850.0,"[20, 20, 20, 18, 20, 19, 0]","[9, 11, 13, 20, 20, 20, 20]","[0.0, 0.012092805727733188, 0.0, 0.0, 0.016607247053510403, 0.0, 0.0]","[197, 206, 202, 238, 318, 247, 206]","[183.3319549560547, 199.03915405273438, 208.37808227539062, 248.1054229736328, 297.2011413574219, 249.99635314941406, 180.19752502441406]"
2013-07-10,2013-07-16,8965.0,24650,16375.0,"[10, 20, 20, 20, 18, 20, 20]","[20, 13, 20, 20, 20, 0, 9]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[206, 202, 238, 318, 247, 206, 242]","[200.8513946533203, 212.21133422851562, 247.9248046875, 298.76416015625, 250.3433380126953, 182.8767852783203, 185.05906677246094]"
2013-07-11,2013-07-17,8494.0,23511,15640.0,"[20, 20, 20, 20, 0, 20, 20]","[14, 18, 20, 19, 20, 8, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[202, 238, 318, 247, 206, 242, 215]","[219.08358764648438, 250.24058532714844, 300.39117431640625, 251.8743133544922, 181.7816619873047, 181.56143188476562, 214.96975708007812]"
2013-07-12,2013-07-18,8166.0,21879,14240.0,"[17, 20, 20, 7, 20, 20, 20]","[20, 20, 20, 20, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[238, 318, 247, 206, 242, 215, 220]","[242.3962860107422, 297.669189453125, 245.49349975585938, 181.84103393554688, 182.6994171142578, 212.94863891601562, 236.04417419433594]"
2013-07-13,2013-07-19,7776.0,22224,14240.0,"[20, 20, 20, 20, 20, 20, 18]","[20, 18, 0, 8, 0, 0, 20]","[0.0, 0.0, 0.29834892537539903, 0.0, 0.0, 0.0, 0.03376591608188533]","[318, 247, 206, 242, 215, 220, 230]","[298.5342712402344, 244.95986938476562, 173.90428161621094, 178.4168701171875, 216.24440002441406, 230.92019653320312, 247.85336303710938]"
2013-07-14,2013-07-20,8652.0,24038,16040.0,"[20, 6, 20, 20, 15, 20, 20]","[19, 20, 8, 14, 20, 0, 20]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[247, 206, 242, 215, 220, 230, 333]","[253.69100952148438, 177.21676635742188, 179.0179901123047, 219.96278381347656, 232.74807739257812, 254.11814880371094, 314.1534118652344]"
2013-07-15,2013-07-21,8321.0,24344,16695.0,"[6, 7, 20, 20, 0, 20, 20]","[20, 20, 14, 16, 20, 20, 17]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[206, 242, 215, 220, 230, 333, 261]","[179.25511169433594, 181.52320861816406, 217.40782165527344, 231.23875427246094, 256.9595947265625, 312.4667053222656, 239.76727294921875]"
2013-07-16,2013-07-22,9185.0,26520,18135.0,"[14, 20, 20, 20, 20, 19, 11]","[16, 14, 17, 19, 20, 18, 19]","[0.0, 0.0, 0.0, 0.0, 0.0007076430953677047, 0.0, 0.0]","[242, 215, 220, 230, 333, 261, 225]","[194.94253540039062, 219.14768981933594, 238.15701293945312, 251.14361572265625, 317.3923034667969, 240.75518798828125, 201.4529266357422]"
2013-07-17,2013-07-23,8893.0,25177,17005.0,"[14, 20, 20, 20, 20, 20, 20]","[20, 17, 20, 20, 17, 0, 11]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[215, 220, 230, 333, 261, 225, 221]","[226.0867156982422, 242.4477081298828, 260.82647705078125, 322.43194580078125, 244.29469299316406, 200.2726287841797, 202.4265594482422]"
2013-07-18,2013-07-24,8935.0,25330,17125.0,"[17, 20, 20, 20, 20, 20, 14]","[20, 20, 20, 18, 11, 0, 19]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[220, 230, 333, 261, 225, 221, 221]","[240.04820251464844, 258.7642517089844, 319.8724365234375, 245.8175811767578, 200.56875610351562, 203.34349060058594, 221.6602783203125]"
2013-07-19,2013-07-25,8988.0,26112,17900.0,"[20, 20, 20, 10, 20, 20, 13]","[18, 20, 18, 20, 11, 14, 20]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[230, 333, 261, 225, 221, 221, 185]","[248.5146942138672, 315.00408935546875, 244.6280975341797, 201.1175537109375, 201.1725311279297, 220.0882568359375, 220.65855407714844]"
2013-07-20,2013-07-26,8872.0,25058,16900.0,"[20, 20, 11, 20, 13, 20, 20]","[20, 20, 20, 0, 20, 13, 15]","[1.4566606159176966e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[333, 261, 225, 221, 221, 185, 234]","[311.5546875, 250.0016632080078, 206.01034545898438, 172.08009338378906, 219.39727783203125, 215.673583984375, 230.52017211914062]"
2013-07-21,2013-07-27,8260.0,24995,16570.0,"[20, 20, 20, 20, 20, 15, 20]","[18, 11, 11, 0, 14, 20, 20]","[0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0]","[261, 225, 221, 221, 185, 234, 319]","[248.95901489257812, 197.7153778076172, 199.61624145507812, 214.76718139648438, 218.1627655029297, 233.1262664794922, 305.0577087402344]"
