start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-01,2013-07-07,2542.0,8740,4645.0,"[3, 0, 0, 7, 14, 17, 0]","[0, 8, 9, 7, 0, 1, 0]","[0.3, 0.0011108305685887834, 0.17059137929852627, 0.16563663222844396, 0.3, 0.0352403897027315, 0.0]","[62, 70, 76, 90, 99, 119, 86]","[20.318403244018555, 55.4985237121582, 62.476322174072266, 92.60774230957031, 85.26797485351562, 110.01748657226562, 91.24520874023438]"
2013-07-02,2013-07-08,3653.0,11964,6585.0,"[5, 5, 11, 9, 11, 7, 5]","[6, 6, 3, 6, 7, 7, 4]","[0.10488230985107376, 0.17209127575458916, 0.17545302135504912, 0.16584285200026427, 0.06796019201598795, 0.16254093008566536, 0.1867952771196115]","[70, 76, 90, 99, 119, 86, 62]","[72.27051544189453, 74.95191955566406, 85.7484130859375, 95.14242553710938, 116.12265014648438, 90.86981964111328, 59.6943359375]"
2013-07-03,2013-07-09,3574.0,11176,6130.0,"[0, 13, 16, 7, 14, 6, 5]","[10, 0, 0, 10, 0, 4, 4]","[0.2140135989786627, 0.3, 0.0, 0.0, 0.0, 0.0, 0.3]","[76, 90, 99, 119, 86, 62, 63]","[67.72535705566406, 77.94231414794922, 93.44490051269531, 111.77340698242188, 87.14701843261719, 62.694217681884766, 57.331241607666016]"
2013-07-04,2013-07-10,3466.0,11052,6070.0,"[5, 5, 10, 10, 4, 7, 7]","[9, 8, 7, 2, 5, 3, 3]","[0.11803595796473772, 0.11814653836323741, 0.1711862958562927, 0.10711296424625437, 0.10384881823710762, 0.17009177348379612, 0.124137805493934]","[90, 99, 119, 86, 62, 63, 66]","[93.191162109375, 85.57943725585938, 110.45403289794922, 87.81136322021484, 60.91722869873047, 62.449989318847656, 65.80046081542969]"
2013-07-05,2013-07-11,3356.0,9696,5990.0,"[0, 10, 15, 7, 5, 11, 12]","[12, 7, 0, 3, 5, 0, 0]","[0.085188003522149, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[99, 119, 86, 62, 63, 66, 64]","[86.64826965332031, 109.28217315673828, 87.63789367675781, 62.0900764465332, 62.3477897644043, 65.29430389404297, 75.19901275634766]"
2013-07-06,2013-07-12,3065.0,9678,6110.0,"[9, 0, 11, 5, 10, 12, 2]","[8, 12, 0, 5, 1, 0, 10]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17437872368414778]","[119, 86, 62, 63, 66, 64, 76]","[111.22454071044922, 86.96092987060547, 65.02031707763672, 62.32533645629883, 64.56453704833984, 71.7725601196289, 83.77397918701172]"
2013-07-07,2013-07-13,3155.0,9469,5970.0,"[15, 0, 11, 11, 12, 14, 19]","[0, 9, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0768786679122538, 0.0, 0.03989180902142331, 0.0, 0.0]","[86, 62, 63, 66, 64, 76, 102]","[90.05902862548828, 62.1650505065918, 63.451881408691406, 65.56797790527344, 71.85931396484375, 84.8621597290039, 109.47354125976562]"
2013-07-08,2013-07-14,2754.0,9536,6065.0,"[10, 10, 8, 12, 5, 0, 0]","[0, 0, 2, 0, 8, 15, 12]","[0.03497393164313034, 0.3, 0.0388312041719022, 0.0, 0.0, 0.0, 0.0]","[62, 63, 66, 64, 76, 102, 79]","[61.786624908447266, 62.852718353271484, 64.59915924072266, 73.83389282226562, 85.03343200683594, 108.8797607421875, 87.19878387451172]"
2013-07-09,2013-07-15,2729.0,10554,6180.0,"[8, 10, 7, 7, 7, 9, 8]","[2, 5, 4, 6, 9, 4, 2]","[0.13177359297867375, 0.13378044371191533, 0.07487966574577935, 0.17053006408380045, 0.16073243604710083, 0.21232887637103942, 0.17045447436635108]","[63, 66, 64, 76, 102, 79, 66]","[59.52096176147461, 62.29331588745117, 70.29792785644531, 83.22662353515625, 105.71088409423828, 86.94426727294922, 61.89071273803711]"
2013-07-10,2013-07-16,3007.0,10074,5690.0,"[9, 12, 14, 18, 4, 10, 11]","[1, 0, 0, 0, 9, 0, 0]","[0.0, 0.0, 0.3, 0.0, 0.3, 0.0, 0.0036769531846606723]","[66, 64, 76, 102, 79, 66, 77]","[63.42645263671875, 72.59130859375, 85.92431640625, 105.96812438964844, 87.73666381835938, 61.29334259033203, 65.43421936035156]"
2013-07-11,2013-07-17,2738.0,10550,5795.0,"[12, 0, 12, 14, 0, 11, 0]","[0, 12, 5, 0, 9, 0, 7]","[0.00528742277657507, 0.0, 0.3, 0.21378670475058464, 0.3, 0.034993034401092096, 0.22100734177722575]","[64, 76, 102, 79, 66, 77, 69]","[72.9414291381836, 84.62376403808594, 108.01044464111328, 85.15555572509766, 60.73249435424805, 63.91064453125, 49.80616760253906]"
2013-07-12,2013-07-18,2881.0,9872,5800.0,"[0, 10, 0, 10, 0, 8, 12]","[12, 7, 12, 0, 9, 0, 0]","[0.037605310557297975, 0.0, 0.3, 0.0, 0.0, 0.3, 0.03819659525027594]","[76, 102, 79, 66, 77, 69, 70]","[82.39889526367188, 107.71310424804688, 86.19872283935547, 61.334556579589844, 64.27936553955078, 50.45226287841797, 75.1146469116211]"
2013-07-13,2013-07-19,2799.0,10670,5440.0,"[8, 14, 1, 10, 7, 11, 13]","[8, 0, 8, 0, 1, 0, 0]","[0.3, 0.08771530990923959, 0.07729741323950251, 0.0, 0.2886500190485444, 0.3, 0.3]","[102, 79, 66, 77, 69, 70, 73]","[105.11536407470703, 84.7093734741211, 62.10063171386719, 62.50113296508789, 48.34915542602539, 74.56302642822266, 80.71620178222656]"
2013-07-14,2013-07-20,2543.0,10161,6185.0,"[9, 9, 7, 1, 9, 6, 8]","[5, 4, 3, 6, 3, 7, 8]","[0.034904961457284694, 0.03983235148464116, 0.08159695750564015, 0.12369640659357056, 0.19476769318665718, 0.08737156476148383, 0.27750418102332775]","[79, 66, 77, 69, 70, 73, 105]","[86.39982604980469, 65.56070709228516, 63.04872512817383, 48.022464752197266, 73.99162292480469, 81.89801025390625, 104.39905548095703]"
2013-07-15,2013-07-21,3067.0,10007,5500.0,"[10, 0, 8, 12, 0, 17, 13]","[0, 9, 0, 0, 11, 0, 0]","[0.3, 0.0, 5.925992230139791e-06, 0.036148276163298666, 0.03731675565677565, 0.3, 0.0]","[66, 77, 69, 70, 73, 105, 83]","[60.33195495605469, 63.51422882080078, 46.40114974975586, 74.30213928222656, 80.99172973632812, 104.64246368408203, 79.40392303466797]"
2013-07-16,2013-07-22,2874.0,9593,5960.0,"[11, 3, 0, 4, 20, 0, 10]","[0, 4, 11, 8, 0, 12, 0]","[0.3, 0.0, 0.0, 0.0, 0.0, 0.040433612589745656, 0.03558761697578238]","[77, 69, 70, 73, 105, 83, 72]","[64.25178527832031, 46.56914138793945, 74.62110137939453, 79.30774688720703, 104.65576934814453, 82.49220275878906, 60.96058654785156]"
2013-07-17,2013-07-23,3162.0,10506,5950.0,"[5, 12, 9, 8, 5, 6, 10]","[4, 1, 4, 8, 7, 4, 2]","[0.11086388185434462, 0.16824941529103596, 0.2137447628355649, 0.13246586518917064, 0.11844583991131342, 0.13206863925892753, 0.03931872359004447]","[69, 70, 73, 105, 83, 72, 70]","[57.15031433105469, 77.15984344482422, 83.21749877929688, 104.9793930053711, 82.96852111816406, 62.76436996459961, 72.85696411132812]"
2013-07-18,2013-07-24,2735.0,10939,6500.0,"[8, 2, 8, 7, 8, 8, 1]","[5, 11, 8, 6, 2, 4, 10]","[0.129275704895534, 0.2318256219697803, 0.13378441823747306, 0.1632613942712415, 0.13467640048562443, 0.16050281680735404, 0.10521611901592536]","[70, 73, 105, 83, 72, 70, 70]","[80.44963836669922, 87.3116226196289, 107.75145721435547, 83.93104553222656, 63.321468353271484, 72.8888931274414, 77.02810668945312]"
2013-07-19,2013-07-25,3153.0,10072,6130.0,"[13, 12, 0, 0, 0, 13, 12]","[0, 5, 12, 9, 10, 0, 0]","[0.3, 0.035615257951227074, 0.0019439069496683112, 0.03917564219676969, 0.006039007790341144, 0.0371743808499054, 0.0]","[73, 105, 83, 72, 70, 70, 58]","[79.38578033447266, 104.19937896728516, 82.69630432128906, 65.7352066040039, 73.4629898071289, 76.3179702758789, 75.47337341308594]"
2013-07-20,2013-07-26,3037.0,10244,5980.0,"[12, 5, 8, 5, 7, 7, 3]","[4, 7, 2, 6, 5, 4, 8]","[0.10340060810794463, 0.10827558445748668, 0.12946221770430327, 0.17268763823843608, 0.04040250172666913, 0.16695166318147142, 0.0753556571519969]","[105, 83, 72, 70, 70, 58, 74]","[102.6307144165039, 78.42632293701172, 63.9519157409668, 72.21997833251953, 76.45110321044922, 74.05650329589844, 77.02359771728516]"
2013-07-21,2013-07-27,2747.0,10190,6245.0,"[0, 11, 0, 13, 10, 7, 20]","[11, 0, 10, 0, 2, 5, 0]","[0.011931892127343625, 0.2692943288405991, 0.04060603943324826, 0.0, 0.03962699027935405, 0.3, 0.0]","[83, 72, 70, 70, 58, 74, 101]","[79.33233642578125, 64.0782699584961, 71.74605560302734, 76.61038208007812, 74.3108901977539, 76.66077423095703, 108.26263427734375]"
2013-07-22,2013-07-28,2457.0,9387,6180.0,"[11, 10, 12, 8, 2, 6, 5]","[0, 1, 0, 4, 9, 10, 8]","[0.0, 0.03758599481333835, 0.0, 0.0, 0.26699024858624604, 0.007614098228574376, 0.03675166542348341]","[72, 70, 70, 58, 74, 101, 58]","[64.43009948730469, 68.32367706298828, 75.30145263671875, 71.62557983398438, 76.80207824707031, 107.35657501220703, 87.01416015625]"
2013-07-23,2013-07-29,2831.0,9453,5905.0,"[12, 13, 12, 13, 0, 13, 10]","[0, 0, 0, 0, 15, 1, 0]","[0.03484273545132344, 0.0, 0.035066169724266974, 0.03986986493349121, 0.037968013048950554, 0.3, 0.0]","[70, 70, 58, 74, 101, 58, 58]","[75.22340393066406, 76.52481079101562, 75.14703369140625, 77.1160888671875, 106.56736755371094, 87.57024383544922, 61.53200912475586]"
2013-07-24,2013-07-30,2405.0,9089,5840.0,"[13, 2, 0, 17, 14, 10, 10]","[0, 9, 11, 1, 0, 0, 0]","[0.0, 0.0, 0.3, 0.003845850105487037, 0.040236477538714184, 0.0, 0.03942939810621239]","[70, 58, 74, 101, 58, 58, 55]","[77.4137191772461, 74.99844360351562, 78.44290161132812, 108.06314849853516, 86.16584777832031, 57.36854934692383, 63.966552734375]"
2013-07-25,2013-07-31,2274.0,9432,5625.0,"[12, 8, 16, 15, 9, 0, 11]","[0, 4, 1, 0, 0, 9, 0]","[0.29818881090070776, 0.0, 0.0, 0.3, 0.040444441924384913, 0.3, 0.0]","[58, 74, 101, 58, 58, 55, 64]","[70.43696594238281, 75.07145690917969, 103.02976989746094, 86.5846176147461, 55.5662727355957, 63.01475143432617, 65.54717254638672]"
2013-07-26,2013-08-01,2334.0,8568,5910.0,"[12, 0, 20, 9, 8, 11, 12]","[0, 15, 0, 0, 2, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[74, 101, 58, 58, 55, 64, 75]","[72.89539337158203, 106.97846984863281, 84.83363342285156, 56.947967529296875, 63.74589538574219, 65.40071868896484, 73.525634765625]"
