start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-01,2013-07-07,2777.0,10054,5255.0,"[4, 9, 10, 15, 4, 15, 0]","[0, 0, 0, 0, 8, 2, 9]","[0.11680528205142138, 0.0378911971046106, 0.0, 0.0, 0.2855413624067578, 0.3, 0.3]","[62, 70, 76, 90, 99, 119, 86]","[20.318403244018555, 55.4985237121582, 62.476322174072266, 92.60774230957031, 85.26797485351562, 110.01748657226562, 91.24520874023438]"
2013-07-02,2013-07-08,3316.0,9870,5465.0,"[12, 7, 13, 11, 12, 12, 0]","[0, 4, 1, 4, 4, 3, 0]","[0.0, 0.0, 0.0, 0.052159875200441984, 0.3, 0.03608228634903146, 0.3]","[70, 76, 90, 99, 119, 86, 62]","[72.27051544189453, 74.95191955566406, 85.7484130859375, 95.14242553710938, 116.12265014648438, 90.86981964111328, 59.6943359375]"
2013-07-03,2013-07-09,3159.0,10091,5675.0,"[6, 6, 8, 11, 9, 6, 5]","[6, 4, 3, 4, 6, 3, 4]","[0.08392176885668658, 0.21313305789844814, 0.07530716939712015, 0.12551324951877207, 0.17582203682270453, 0.1065793398604177, 0.04022438330415221]","[76, 90, 99, 119, 86, 62, 63]","[67.72535705566406, 77.94231414794922, 93.44490051269531, 111.77340698242188, 87.14701843261719, 62.694217681884766, 57.331241607666016]"
2013-07-04,2013-07-10,3431.0,9948,5700.0,"[15, 0, 13, 14, 6, 0, 10]","[0, 11, 3, 0, 3, 7, 1]","[0.03978684585727547, 0.3, 0.0, 0.002859121860379592, 0.032926631186522684, 0.0, 0.0]","[90, 99, 119, 86, 62, 63, 66]","[93.191162109375, 85.57943725585938, 110.45403289794922, 87.81136322021484, 60.91722869873047, 62.449989318847656, 65.80046081542969]"
2013-07-05,2013-07-11,3234.0,9924,5470.0,"[13, 18, 0, 9, 0, 10, 11]","[0, 0, 12, 0, 8, 0, 0]","[0.3, 0.0, 0.0, 0.3, 0.0, 0.037921332663958245, 0.0]","[99, 119, 86, 62, 63, 66, 64]","[86.64826965332031, 109.28217315673828, 87.63789367675781, 62.0900764465332, 62.3477897644043, 65.29430389404297, 75.19901275634766]"
2013-07-06,2013-07-12,3192.0,9894,5470.0,"[19, 7, 0, 10, 7, 12, 11]","[0, 4, 9, 0, 3, 0, 0]","[0.03977970739064363, 0.3, 0.0, 0.0, 0.3, 0.0, 0.0]","[119, 86, 62, 63, 66, 64, 76]","[111.22454071044922, 86.96092987060547, 65.02031707763672, 62.32533645629883, 64.56453704833984, 71.7725601196289, 83.77397918701172]"
2013-07-07,2013-07-13,2967.0,9847,5790.0,"[6, 9, 0, 11, 4, 14, 0]","[7, 0, 9, 0, 5, 0, 14]","[0.04029499456408957, 0.3, 0.0, 0.03618545894231016, 0.3, 0.0, 0.0]","[86, 62, 63, 66, 64, 76, 102]","[90.05902862548828, 62.1650505065918, 63.451881408691406, 65.56797790527344, 71.85931396484375, 84.8621597290039, 109.47354125976562]"
2013-07-08,2013-07-14,2687.0,8786,4925.0,"[10, 10, 11, 12, 14, 10, 2]","[0, 0, 0, 0, 0, 7, 0]","[0.3, 0.0, 0.2459084630436, 0.07479674969755659, 0.03708345573350933, 0.0402464857507661, 0.0]","[62, 63, 66, 64, 76, 102, 79]","[61.786624908447266, 62.852718353271484, 64.59915924072266, 73.83389282226562, 85.03343200683594, 108.8797607421875, 87.19878387451172]"
2013-07-09,2013-07-15,2874.0,9708,5645.0,"[5, 7, 5, 4, 10, 4, 5]","[4, 3, 6, 6, 5, 9, 4]","[0.17114546802138722, 0.03946880949914989, 0.11285835741164738, 0.21153401862847007, 0.1271171717183648, 0.038138485971097334, 0.11718409453160755]","[63, 66, 64, 76, 102, 79, 66]","[59.52096176147461, 62.29331588745117, 70.29792785644531, 83.22662353515625, 105.71088409423828, 86.94426727294922, 61.89071273803711]"
2013-07-10,2013-07-16,3211.0,9492,5610.0,"[11, 12, 14, 18, 3, 9, 10]","[0, 0, 0, 0, 10, 0, 0]","[0.12342302798794344, 0.0, 0.0, 0.035697669792602534, 0.0, 0.0, 0.21331668241893462]","[66, 64, 76, 102, 79, 66, 77]","[63.42645263671875, 72.59130859375, 85.92431640625, 105.96812438964844, 87.73666381835938, 61.29334259033203, 65.43421936035156]"
2013-07-11,2013-07-17,2441.0,8514,4910.0,"[12, 8, 18, 7, 0, 11, 8]","[0, 5, 0, 6, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3]","[64, 76, 102, 79, 66, 77, 69]","[72.9414291381836, 84.62376403808594, 108.01044464111328, 85.15555572509766, 60.73249435424805, 63.91064453125, 49.80616760253906]"
2013-07-12,2013-07-18,2889.0,9368,5760.0,"[12, 18, 0, 0, 0, 8, 12]","[2, 0, 12, 9, 9, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.005019631423234402, 0.2668137619446245]","[76, 102, 79, 66, 77, 69, 70]","[82.39889526367188, 107.71310424804688, 86.19872283935547, 61.334556579589844, 64.27936553955078, 50.45226287841797, 75.1146469116211]"
2013-07-13,2013-07-19,2941.0,9091,5845.0,"[20, 0, 10, 0, 8, 12, 0]","[0, 12, 0, 9, 0, 0, 11]","[0.0, 0.0, 0.0, 0.03997567254130146, 0.03986185798834613, 0.03992504520690614, 0.0]","[102, 79, 66, 77, 69, 70, 73]","[105.11536407470703, 84.7093734741211, 62.10063171386719, 62.50113296508789, 48.34915542602539, 74.56302642822266, 80.71620178222656]"
2013-07-14,2013-07-20,2854.0,9408,5800.0,"[0, 11, 5, 3, 0, 6, 17]","[12, 0, 5, 4, 10, 6, 0]","[0.001871260024675191, 0.0, 0.2984636113641728, 0.0, 0.011304783452968807, 0.027130885904797425, 0.0]","[79, 66, 77, 69, 70, 73, 105]","[86.39982604980469, 65.56070709228516, 63.04872512817383, 48.022464752197266, 73.99162292480469, 81.89801025390625, 104.39905548095703]"
2013-07-15,2013-07-21,2753.0,9786,5750.0,"[10, 0, 0, 12, 6, 14, 0]","[0, 9, 7, 0, 6, 3, 11]","[0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.3]","[66, 77, 69, 70, 73, 105, 83]","[60.33195495605469, 63.51422882080078, 46.40114974975586, 74.30213928222656, 80.99172973632812, 104.64246368408203, 79.40392303466797]"
2013-07-16,2013-07-22,3038.0,9948,5460.0,"[11, 8, 7, 13, 0, 14, 10]","[0, 0, 4, 0, 14, 0, 0]","[0.3, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0]","[77, 69, 70, 73, 105, 83, 72]","[64.25178527832031, 46.56914138793945, 74.62110137939453, 79.30774688720703, 104.65576934814453, 82.49220275878906, 60.96058654785156]"
2013-07-17,2013-07-23,3153.0,9753,5975.0,"[2, 0, 0, 18, 2, 7, 12]","[6, 11, 11, 0, 10, 3, 0]","[0.21378659972958178, 0.00971601847368283, 0.0, 0.037467822757315396, 0.0, 0.10769031703733617, 0.0]","[69, 70, 73, 105, 83, 72, 70]","[57.15031433105469, 77.15984344482422, 83.21749877929688, 104.9793930053711, 82.96852111816406, 62.76436996459961, 72.85696411132812]"
2013-07-18,2013-07-24,2690.0,9614,5645.0,"[5, 14, 7, 5, 0, 0, 8]","[7, 0, 9, 7, 9, 6, 1]","[0.11314585187860633, 0.0, 0.0, 0.00441818249822321, 0.3, 0.0, 0.3]","[70, 73, 105, 83, 72, 70, 70]","[80.44963836669922, 87.3116226196289, 107.75145721435547, 83.93104553222656, 63.321468353271484, 72.8888931274414, 77.02810668945312]"
2013-07-19,2013-07-25,3133.0,9582,5985.0,"[0, 17, 6, 11, 0, 12, 11]","[11, 0, 7, 0, 10, 0, 1]","[0.0048277135424323915, 0.0, 0.007238020324623787, 0.00014384979248213068, 0.0, 0.07849763735246379, 0.12641069961911192]","[73, 105, 83, 72, 70, 70, 58]","[79.38578033447266, 104.19937896728516, 82.69630432128906, 65.7352066040039, 73.4629898071289, 76.3179702758789, 75.47337341308594]"
