Loja,Cenario,Lucro,J,X,PR
philadelphia,O1,8071.2200927734375,14.14,14.43,0.0
philadelphia,O2,8071.2200927734375,14.14,14.43,0.0
lancaster,O1,6163.619934082031,11.57,12.14,0.0
lancaster,O2,6163.619934082031,11.57,12.14,0.0
philadelphia,O3,6071.2200927734375,14.14,14.43,0.0
lancaster,O3,4511.869934082031,11.43,12.14,0.0
baltimore,O1,3696.0799865722656,7.29,8.14,0.0
baltimore,O2,3696.0799865722656,7.29,8.14,0.0
richmond,O2,3184.6700134277344,5.14,5.14,0.0
richmond,O1,3184.6700134277344,5.14,5.14,0.0
baltimore,O3,2616.0800170898438,7.29,8.14,0.0
richmond,O3,2468.4299926757812,4.86,5.14,0.0
