Loja,Data,Pred_Clientes,J,X,PR,Lucro
baltimore,2014-06-08,69,6,5,0.0,257.24365234375
baltimore,2014-06-09,75,5,6,0.0,426.0
baltimore,2014-06-10,111,8,9,0.0,654.0
baltimore,2014-06-11,118,9,9,0.0,684.0
baltimore,2014-06-12,74,5,6,0.0,426.0
baltimore,2014-06-13,82,5,7,0.0,472.0
baltimore,2014-06-14,156,12,12,0.0,612.0
lancaster,2014-06-08,97,7,8,0.0,425.048583984375
lancaster,2014-06-09,151,11,12,0.0,948.0
lancaster,2014-06-10,280,20,20,0.0,1640.0
lancaster,2014-06-11,160,11,13,0.0,994.0
lancaster,2014-06-12,107,9,8,0.0,656.0538330078125
lancaster,2014-06-13,104,8,8,0.0,656.0
lancaster,2014-06-14,275,20,20,0.0,1140.0
philadelphia,2014-06-08,114,8,9,0.0,535.0
philadelphia,2014-06-09,168,13,13,0.0,1130.009521484375
philadelphia,2014-06-10,231,17,18,0.0,1542.0
philadelphia,2014-06-11,269,20,20,0.0,1760.0
philadelphia,2014-06-12,142,11,11,0.0,963.653564453125
philadelphia,2014-06-13,171,13,13,0.0,1144.0
philadelphia,2014-06-14,320,20,20,0.0,1260.0
richmond,2014-06-08,42,3,3,0.0,228.0
richmond,2014-06-09,49,3,4,0.0,356.0
richmond,2014-06-10,67,5,5,0.0,505.0
richmond,2014-06-11,58,4,5,0.0,442.2515869140625
richmond,2014-06-12,45,3,4,0.0,338.60748291015625
richmond,2014-06-13,46,3,4,0.0,356.0
richmond,2014-06-14,105,8,8,0.0,608.0
