Loja,Data,Cenario,Pred_Clientes,J,X,PR,Lucro
baltimore,2014-06-08,O1,83,5,7,0.0,317.0
baltimore,2014-06-09,O1,85,6,7,0.0,502.0
baltimore,2014-06-10,O1,110,8,9,0.0,649.47998046875
baltimore,2014-06-11,O1,126,9,10,0.0,730.0
baltimore,2014-06-12,O1,77,6,6,0.0,449.6000061035156
baltimore,2014-06-13,O1,79,6,6,0.0,456.0
baltimore,2014-06-14,O1,151,11,12,0.0,592.0
baltimore,2014-06-08,O2,83,5,7,0.0,317.0
baltimore,2014-06-09,O2,85,6,7,0.0,502.0
baltimore,2014-06-10,O2,110,8,9,0.0,649.47998046875
baltimore,2014-06-11,O2,126,9,10,0.0,730.0
baltimore,2014-06-12,O2,77,6,6,0.0,449.6000061035156
baltimore,2014-06-13,O2,79,6,6,0.0,456.0
baltimore,2014-06-14,O2,151,11,12,0.0,592.0
baltimore,2014-06-08,O3,83,5,7,0.0,197.0
baltimore,2014-06-09,O3,85,6,7,0.0,372.0
baltimore,2014-06-10,O3,110,8,9,0.0,479.4800109863281
baltimore,2014-06-11,O3,126,9,10,0.0,540.0
baltimore,2014-06-12,O3,77,6,6,0.0,329.6000061035156
baltimore,2014-06-13,O3,79,6,6,0.0,336.0
baltimore,2014-06-14,O3,151,11,12,0.0,362.0
lancaster,2014-06-08,O1,114,8,9,0.0,487.0
lancaster,2014-06-09,O1,131,10,10,0.0,820.0
lancaster,2014-06-10,O1,233,18,18,0.0,1461.43994140625
lancaster,2014-06-11,O1,173,13,14,0.0,1077.75
lancaster,2014-06-12,O1,116,9,9,0.0,729.4299926757812
lancaster,2014-06-13,O1,111,8,9,0.0,702.0
lancaster,2014-06-14,O1,203,15,16,0.0,886.0
lancaster,2014-06-08,O2,114,8,9,0.0,487.0
lancaster,2014-06-09,O2,131,10,10,0.0,820.0
lancaster,2014-06-10,O2,233,18,18,0.0,1461.43994140625
lancaster,2014-06-11,O2,173,13,14,0.0,1077.75
lancaster,2014-06-12,O2,116,9,9,0.0,729.4299926757812
lancaster,2014-06-13,O2,111,8,9,0.0,702.0
lancaster,2014-06-14,O2,203,15,16,0.0,886.0
lancaster,2014-06-08,O3,114,8,9,0.0,317.0
lancaster,2014-06-09,O3,131,10,10,0.0,620.0
lancaster,2014-06-10,O3,233,18,18,0.0,1101.43994140625
lancaster,2014-06-11,O3,173,12,14,0.0,816.0
lancaster,2014-06-12,O3,116,9,9,0.0,549.4299926757812
lancaster,2014-06-13,O3,111,8,9,0.0,532.0
lancaster,2014-06-14,O3,203,15,16,0.0,576.0
philadelphia,2014-06-08,O1,117,9,9,0.0,567.0
philadelphia,2014-06-09,O1,159,12,12,0.0,1056.0
philadelphia,2014-06-10,O1,233,18,18,0.0,1576.800048828125
philadelphia,2014-06-11,O1,253,19,20,0.0,1717.4200439453125
philadelphia,2014-06-12,O1,120,9,9,0.0,792.0
philadelphia,2014-06-13,O1,163,12,13,0.0,1102.0
philadelphia,2014-06-14,O1,292,20,20,0.0,1260.0
philadelphia,2014-06-08,O2,117,9,9,0.0,567.0
philadelphia,2014-06-09,O2,159,12,12,0.0,1056.0
philadelphia,2014-06-10,O2,233,18,18,0.0,1576.800048828125
philadelphia,2014-06-11,O2,253,19,20,0.0,1717.4200439453125
philadelphia,2014-06-12,O2,120,9,9,0.0,792.0
philadelphia,2014-06-13,O2,163,12,13,0.0,1102.0
philadelphia,2014-06-14,O2,292,20,20,0.0,1260.0
philadelphia,2014-06-08,O3,117,9,9,0.0,387.0
philadelphia,2014-06-09,O3,159,12,12,0.0,816.0
philadelphia,2014-06-10,O3,233,18,18,0.0,1216.800048828125
philadelphia,2014-06-11,O3,253,19,20,0.0,1327.4200439453125
philadelphia,2014-06-12,O3,120,9,9,0.0,612.0
philadelphia,2014-06-13,O3,163,12,13,0.0,852.0
philadelphia,2014-06-14,O3,292,20,20,0.0,860.0
richmond,2014-06-08,O1,51,4,4,0.0,292.6300048828125
richmond,2014-06-09,O1,52,4,4,0.0,404.0
richmond,2014-06-10,O1,65,5,5,0.0,505.0
richmond,2014-06-11,O1,76,6,6,0.0,570.7999877929688
richmond,2014-06-12,O1,48,3,4,0.0,356.0
richmond,2014-06-13,O1,49,4,4,0.0,362.6600036621094
richmond,2014-06-14,O1,121,10,9,0.0,693.5800170898438
richmond,2014-06-08,O2,51,4,4,0.0,292.6300048828125
richmond,2014-06-09,O2,52,4,4,0.0,404.0
richmond,2014-06-10,O2,65,5,5,0.0,505.0
richmond,2014-06-11,O2,76,6,6,0.0,570.7999877929688
richmond,2014-06-12,O2,48,3,4,0.0,356.0
richmond,2014-06-13,O2,49,4,4,0.0,362.6600036621094
richmond,2014-06-14,O2,121,10,9,0.0,693.5800170898438
richmond,2014-06-08,O3,51,4,4,0.0,212.6300048828125
richmond,2014-06-09,O3,52,4,4,0.0,324.0
richmond,2014-06-10,O3,65,5,5,0.0,405.0
richmond,2014-06-11,O3,76,6,6,0.0,450.79998779296875
richmond,2014-06-12,O3,48,3,4,0.0,286.0
richmond,2014-06-13,O3,49,3,4,0.0,286.0
richmond,2014-06-14,O3,121,9,9,0.0,504.0
